device_id,first_seen,last_seen,unique_facilities,path_steps,path
7606484651493656091,2026-04-25 21:50:32+00:00,2026-04-25 21:50:32+00:00,2,2,66332 -> 66342
-53938427169700000,2026-04-20 09:31:33+00:00,2026-04-26 17:58:39+00:00,3,8,66331 -> 66330 -> 66331 -> 66330 -> 66331 -> 66330 -> 66335 -> 66330
7377825959945095419,2026-04-26 14:46:54+00:00,2026-04-26 14:49:46+00:00,3,3,66330 -> 66331 -> 66340
-9059691311104842194,2026-04-25 11:26:14+00:00,2026-04-25 11:27:27+00:00,2,2,66330 -> 66332
-1079492487245393529,2026-04-25 09:15:44+00:00,2026-04-25 09:15:44+00:00,2,2,66332 -> 66342
3066779054033995181,2026-04-25 11:53:53+00:00,2026-04-25 11:53:53+00:00,2,2,66333 -> 66342
785901708351449003,2026-04-25 16:50:34+00:00,2026-04-25 16:50:34+00:00,2,2,66333 -> 66342
-5372249692279540512,2026-04-23 14:12:28+00:00,2026-04-23 14:12:28+00:00,2,2,66333 -> 66342
4061426268387280404,2026-04-22 11:32:01+00:00,2026-04-22 11:32:01+00:00,2,2,66332 -> 66342
-7776502649416220300,2026-04-24 06:59:21+00:00,2026-04-24 06:59:21+00:00,2,2,66330 -> 66331
156635839548347981,2026-04-20 14:26:15+00:00,2026-04-20 15:29:41+00:00,5,5,66336 -> 66340 -> 66330 -> 66331 -> 66332
-1938812389545018843,2026-04-22 10:14:42+00:00,2026-04-22 10:14:43+00:00,2,2,66331 -> 66330
-3060016510901309221,2026-04-23 09:33:29+00:00,2026-04-23 09:33:30+00:00,2,2,66330 -> 66331
-1478386043691727438,2026-04-24 13:21:36+00:00,2026-04-24 14:08:37+00:00,3,3,66335 -> 66332 -> 66330
-8838341793581147113,2026-04-20 12:16:35+00:00,2026-04-20 12:16:35+00:00,2,2,66335 -> 66336
9049923013867254348,2026-04-22 10:09:27+00:00,2026-04-22 10:24:06+00:00,5,5,66336 -> 66340 -> 66330 -> 66331 -> 66332
-1627568044277112817,2026-04-26 14:52:44+00:00,2026-04-26 14:52:45+00:00,2,2,66330 -> 66331
864247576159230806,2026-04-25 15:45:42+00:00,2026-04-25 18:13:04+00:00,4,5,66330 -> 66331 -> 66336 -> 66340 -> 66330
-9136431336331745232,2026-04-25 15:53:36+00:00,2026-04-25 17:30:39+00:00,2,3,66333 -> 66342 -> 66333
5230328842551291417,2026-04-25 13:02:04+00:00,2026-04-25 14:26:56+00:00,2,2,66342 -> 66333
3414809337036633742,2026-04-26 12:35:20+00:00,2026-04-26 12:35:22+00:00,2,2,66342 -> 66333
-7742279938879399323,2026-04-22 12:52:51+00:00,2026-04-22 12:52:51+00:00,2,2,66330 -> 66331
-2760236572677577909,2026-04-26 10:58:47+00:00,2026-04-26 10:58:47+00:00,2,2,66333 -> 66342
-7247817914644410883,2026-04-25 12:10:40+00:00,2026-04-25 12:10:40+00:00,2,2,66332 -> 66342
8038437848489625964,2026-04-23 09:18:14+00:00,2026-04-24 15:23:07+00:00,2,2,66331 -> 66330
-1866735433526286107,2026-04-26 18:16:20+00:00,2026-04-26 18:16:20+00:00,2,2,66333 -> 66342
-9143971100658312376,2026-04-26 13:44:18+00:00,2026-04-26 14:11:41+00:00,4,4,66335 -> 66333 -> 66342 -> 66332
8186431865166652720,2026-04-26 09:27:12+00:00,2026-04-26 09:27:12+00:00,2,2,66333 -> 66342
-4443958361115793081,2026-04-23 14:04:17+00:00,2026-04-23 14:04:17+00:00,2,2,66330 -> 66331
-2106167788146825167,2026-04-26 11:27:39+00:00,2026-04-26 11:27:39+00:00,2,2,66333 -> 66342
-8230086830575546657,2026-04-21 18:29:37+00:00,2026-04-21 18:29:37+00:00,2,2,66330 -> 66331
-6232433055870667682,2026-04-22 18:57:35+00:00,2026-04-22 18:57:35+00:00,2,2,66330 -> 66331
1025815565529362794,2026-04-26 10:42:14+00:00,2026-04-26 10:42:14+00:00,2,2,66333 -> 66342
-5474990142871826271,2026-04-26 14:34:51+00:00,2026-04-26 14:34:51+00:00,2,2,66333 -> 66342
2834976130904550622,2026-04-20 10:41:24+00:00,2026-04-20 10:41:24+00:00,2,2,66330 -> 66331
-106730395226320624,2026-04-22 14:32:06+00:00,2026-04-22 14:32:07+00:00,2,2,66330 -> 66331
-709644452658635711,2026-04-25 14:18:21+00:00,2026-04-25 14:18:22+00:00,2,2,66342 -> 66333
-159407008536029507,2026-04-25 21:02:54+00:00,2026-04-25 21:02:55+00:00,2,2,66330 -> 66331
1870701063000086116,2026-04-24 19:03:02+00:00,2026-04-24 19:03:02+00:00,2,2,66333 -> 66342
-821786219879531603,2026-04-22 12:02:58+00:00,2026-04-22 12:02:58+00:00,2,2,66330 -> 66331
-8416888765112294900,2026-04-25 13:52:33+00:00,2026-04-25 13:52:33+00:00,2,2,66330 -> 66331
-5420835588155702705,2026-04-25 17:29:56+00:00,2026-04-25 17:29:57+00:00,2,2,66342 -> 66340
8019266144796012604,2026-04-22 18:24:54+00:00,2026-04-22 18:24:55+00:00,2,2,66330 -> 66331
-7597399090961363740,2026-04-26 10:26:41+00:00,2026-04-26 10:26:41+00:00,2,2,66333 -> 66342
3089343876079770514,2026-04-21 14:31:35+00:00,2026-04-21 14:31:47+00:00,2,2,66330 -> 66331
-58594105798540962,2026-04-20 11:01:59+00:00,2026-04-23 19:50:32+00:00,2,2,66336 -> 66330
-1349765947461407515,2026-04-25 00:11:47+00:00,2026-04-25 17:24:14+00:00,2,2,66330 -> 66331
1414010467932156652,2026-04-21 06:43:38+00:00,2026-04-21 06:43:39+00:00,2,2,66331 -> 66330
